"","BIN","Borough","House","Street.Name","Job.Type","Work.Type","Permit.Status","Filing.Date","Expiration.Date","Job.Start.Date","Lat","Long"
"5768",3426000,"BROOKLYN","5244","KINGS HIGHWAY","A2","OT","ISSUED","07/20/2020","12/17/2020",2020-07-20,40.637041,-73.926346
"5769",3426000,"BROOKLYN","5244","KINGS HIGHWAY","A2","MH","ISSUED","07/20/2020","12/17/2020",2020-07-20,40.637041,-73.926346
"5770",1048067,"MANHATTAN","1075","PARK AVE","A2","OT","ISSUED","07/20/2020","09/22/2020",2020-07-20,40.781332,-73.956345
"5771",2094178,"BRONX","1150","EAST 229 STREET","A2","OT","ISSUED","07/20/2020","07/19/2021",2020-07-20,40.886175,-73.845107
"5772",2013798,"BRONX","164","EAST 188 STREET","A3","OT","RE-ISSUED","07/20/2020","03/02/2021",2020-08-13,40.861611,-73.898336
"5773",3156837,"BROOKLYN","6907","20 AVE","A2","OT","ISSUED","07/21/2020","04/24/2021",2020-07-21,40.614128,-73.988337
"5774",1016047,"MANHATTAN","452","5 AVENUE","A2","OT","ISSUED","07/21/2020","08/15/2020",2020-07-21,40.752335,-73.982416
"5775",1026878,"MANHATTAN","475","WEST 57TH STREET","A2","OT","ISSUED","07/21/2020","07/05/2021",2020-07-21,40.768738,-73.987639
"5776",1090749,"MANHATTAN","145","WEST 108TH STREET","A2","SD","ISSUED","07/21/2020","07/21/2021",2020-07-21,40.801173,-73.963393
"5777",1082653,"MANHATTAN","413","GRAND STREET","A2","OT","ISSUED","07/21/2020","02/24/2021",2020-07-21,40.715828,-73.986336
"5778",1009706,"MANHATTAN","65","WEST 13TH STREET","A2","OT","ISSUED","06/15/2020","06/05/2021",2020-07-21,40.736145,-73.99607
"5779",1000821,"MANHATTAN","55","BROAD STREET","A2","OT","ISSUED","07/21/2020","10/01/2020",2020-07-23,40.705189,-74.011505
"5780",1056066,"MANHATTAN","752","WEST END AVENUE","A2","OT","ISSUED","07/21/2020","05/23/2021",2020-07-21,40.795667,-73.972895
"5781",1056066,"MANHATTAN","752","WEST END AVENUE","A2","OT","ISSUED","07/21/2020","05/23/2021",2020-07-21,40.795667,-73.972895
"5782",4618544,"QUEENS","147-25","94TH AVENUE","A2","SD","ISSUED","07/21/2020","07/21/2021",2020-07-21,40.699222,-73.806426
"5783",4618544,"QUEENS","147-25","94TH AVENUE","A2","SP","ISSUED","07/21/2020","07/21/2021",2020-07-21,40.699222,-73.806426
"5784",3048257,"BROOKLYN","19","KANE PLACE","DM","EQ","ISSUED","07/07/2020","07/24/2021",2020-07-24,40.677645,-73.92372
"5785",1083026,"MANHATTAN","2","PENN PLAZA","A2","OT","ISSUED","07/21/2020","11/01/2020",2020-07-21,40.750017,-73.991345
"5786",4264551,"QUEENS","157-18","115 ROAD","NB","","ISSUED","07/21/2020","03/17/2021",2020-07-21,40.686292,-73.788056
"5787",2097318,"BRONX","2921","PAUL AVENUE","A2","FS","ISSUED","07/21/2020","05/01/2021",2020-07-21,40.871842,-73.893573
"5788",4115121,"QUEENS","132-14","POPLE AVE","A1","","ISSUED","07/21/2020","11/13/2020",2020-07-21,40.753227,-73.831978
"5789",1088961,"MANHATTAN","500","WEST 33RD STREET","A2","OT","ISSUED","07/21/2020","01/31/2021",2020-07-21,40.753992,-73.99983
"5790",4115121,"QUEENS","132-14","POPLE AVE","A1","","ISSUED","07/21/2020","11/13/2020",2020-07-21,40.753227,-73.831978
"5791",4115121,"QUEENS","132-14","POPLE AVE","A1","","ISSUED","07/21/2020","11/13/2020",2020-07-21,40.753227,-73.831978
"5792",1048512,"MANHATTAN","225","EAST 79 STREET","A2","OT","ISSUED","07/21/2020","09/12/2020",2020-07-21,40.773987,-73.95657
"5793",4253426,"QUEENS","115-34","117 STREET","A2","OT","ISSUED","07/21/2020","11/11/2020",2020-07-21,40.676137,-73.821108
"5794",4623202,"QUEENS","35-15","19TH AVENUE","DM","EQ","ISSUED","07/21/2020","07/21/2021",2020-07-21,40.780124,-73.902028
"5795",4623202,"QUEENS","35-15","19TH AVENUE","DM","","ISSUED","07/21/2020","06/28/2021",2020-07-21,40.780124,-73.902028
"5796",1058151,"MANHATTAN","135","WEST 132ND STREET","A1","","ISSUED","07/21/2020","08/07/2021",2020-08-07,40.812676,-73.94337
"5797",1009006,"MANHATTAN","808","BROADWAY","A2","OT","ISSUED","07/21/2020","06/23/2021",2020-07-21,40.732621,-73.991232
"5798",1004054,"MANHATTAN","228","E BROADWAY","A1","","ISSUED","07/21/2020","07/21/2021",2020-07-21,40.714359,-73.986707
"5799",1065038,"MANHATTAN","560","WEST 218 STREET","A2","OT","ISSUED","07/22/2020","05/05/2021",2020-07-22,40.872407,-73.916981
"5800",1063906,"MANHATTAN","611","WEST 180 STREET","A2","OT","ISSUED","07/22/2020","12/01/2020",2020-07-22,40.848814,-73.93466
"5801",1028159,"MANHATTAN","125","COLUMBUS AVENUE","A1","","ISSUED","07/22/2020","04/02/2021",2020-07-22,40.773132,-73.981948
"5802",1057285,"MANHATTAN","300","W 108 STREET","A2","OT","ISSUED","07/22/2020","05/05/2021",2020-07-22,40.803033,-73.967857
"5803",1013043,"MANHATTAN","111","EIGHTH AVENUE","A2","OT","ISSUED","07/22/2020","12/15/2020",2020-07-22,40.740704,-74.001844
"5804",1000821,"MANHATTAN","55","BROAD STREET","A2","OT","ISSUED","07/22/2020","10/01/2020",2020-07-22,40.705189,-74.011505
"5805",1017991,"MANHATTAN","1","LEXINGTON AVE","A2","OT","ISSUED","07/22/2020","04/01/2021",2020-07-07,40.738307,-73.985598
"5806",3163686,"BROOKLYN","1453","82ND STREET","A2","OT","ISSUED","07/22/2020","09/13/2020",2020-07-22,40.614255,-74.008068
"5807",4248371,"QUEENS","132-19","107 STREET","A1","","ISSUED","07/22/2020","10/18/2020",2020-08-06,40.675998,-73.832843
"5808",3040477,"BROOKLYN","741","DECATUR STREET","A2","OT","ISSUED","07/22/2020","04/06/2021",2020-07-28,40.683751,-73.913434
"5809",3175903,"BROOKLYN","1659","DAHILL ROAD","A2","OT","ISSUED","07/23/2020","11/15/2020",2020-07-23,40.607492,-73.973789
"5810",5133954,"STATEN ISLAND","4310","AMBOY ROAD","A2","OT","ISSUED","07/23/2020","02/01/2021",2020-07-23,40.545611,-74.160037
"5811",4200073,"QUEENS","95-21","129TH STREET","A2","OT","ISSUED","07/23/2020","11/09/2020",2020-07-23,40.694387,-73.819321
"5812",4024179,"QUEENS","24-28","90TH  PL","A2","OT","ISSUED","07/23/2020","05/31/2021",2020-08-24,40.764657,-73.878998
"5813",1036068,"MANHATTAN","470","PARK AVE","A2","OT","ISSUED","07/23/2020","07/15/2021",2020-02-21,40.762123,-73.970389
"5814",3428850,"BROOKLYN","1120","SAINT JOHNS PLACE","NB","","ISSUED","07/24/2020","08/04/2021",2020-08-04,40.671134,-73.941251
"5815",3048257,"BROOKLYN","19","KANE PLACE","DM","","ISSUED","07/07/2020","10/18/2020",2020-07-24,40.677645,-73.92372
"5816",1082816,"MANHATTAN","388","GREENWICH STREET","A3","EQ","ISSUED","07/24/2020","07/24/2021",2020-07-24,40.720659,-74.010098
"5817",1014731,"MANHATTAN","635","6 AVE","A2","OT","ISSUED","07/24/2020","07/01/2021",2020-07-24,40.740581,-73.994504
"5818",1030085,"MANHATTAN","136","WEST 75TH STREET","A2","OT","ISSUED","07/24/2020","01/08/2021",2020-07-24,40.779914,-73.978696
"5819",1086049,"MANHATTAN","169","7TH AVENUE","A3","OT","ISSUED","07/24/2020","09/16/2020",2020-07-24,40.742137,-73.997062
"5820",1076225,"MANHATTAN","25","CPW","A2","OT","ISSUED","07/24/2020","04/27/2021",2020-07-24,40.770148,-73.9804
"5821",5048404,"STATEN ISLAND","33","BURGHER AVENUE","A2","OT","ISSUED","07/24/2020","09/18/2020",2020-08-05,40.594848,-74.096231
"5822",3110137,"BROOKLYN","99","E 32ND STREET","A2","OT","ISSUED","07/24/2020","06/12/2021",2020-07-24,40.648292,-73.947372
"5823",3082312,"BROOKLYN","820","THOMAS S BOYLAND STREET","A2","OT","ISSUED","07/24/2020","11/20/2020",2020-07-24,40.660254,-73.911258
"5824",3019525,"BROOKLYN","179","FOURTH AVENUE","NB","PL","ISSUED","07/24/2020","07/24/2021",2020-01-22,40.67843,-73.982345
"5825",4438690,"QUEENS","171-19","HILLSIDE AVENUE","A2","OT","ISSUED","07/24/2020","09/01/2020",2020-07-24,40.711521,-73.790797
"5826",2076017,"BRONX","1482","STADIUM AVENUE","A2","OT","ISSUED","07/24/2020","07/24/2021",2020-07-24,40.843692,-73.820383
"5827",4103092,"QUEENS","10-10","154 STREET","A2","SP","ISSUED","07/24/2020","07/24/2021",2020-07-24,40.793052,-73.807132
"5828",2130726,"BRONX","1525","BRYANT AVENUE","NB","","ISSUED","07/24/2020","08/07/2021",2020-01-27,40.833484,-73.88691
"5829",1001162,"MANHATTAN","199","WATER STREET","A2","OT","ISSUED","07/27/2020","09/01/2020",2020-07-27,40.70727,-74.004314
"5830",3399785,"BROOKLYN","1111","FULTON STREET","A3","EQ","ISSUED","07/27/2020","07/27/2021",2020-07-27,40.681429,-73.957037
"5831",3016952,"BROOKLYN","520","17 STREET","NB","PL","ISSUED","07/27/2020","07/27/2021",2020-07-27,40.657783,-73.981482
"5832",4184406,"QUEENS","87-88","96 STREET","A2","OT","ISSUED","07/27/2020","12/18/2020",2020-07-27,40.693912,-73.849325
"5833",1088961,"MANHATTAN","500","WEST 33RD STREET","A2","OT","ISSUED","07/27/2020","01/01/2021",2020-07-27,40.753992,-73.99983
"5834",4623406,"QUEENS","27-10","37 AVE","NB","","ISSUED","07/27/2020","07/27/2021",2020-07-27,40.756492,-73.933827
"5835",3005969,"BROOKLYN","118","3 AVENUE","A3","OT","ISSUED","07/27/2020","05/06/2021",2020-03-19,40.682882,-73.982362
"5836",4623406,"QUEENS","27-10","37 AVE","NB","","ISSUED","07/27/2020","07/27/2021",2020-07-27,40.756492,-73.933827
"5837",4623406,"QUEENS","27-10","37 AVE","NB","","ISSUED","07/27/2020","07/27/2021",2020-07-27,40.756492,-73.933827
"5838",1050007,"MANHATTAN","336","EAST 86TH STREET","A2","OT","ISSUED","07/27/2020","07/27/2021",2020-03-06,40.777462,-73.950783
"5839",3002035,"BROOKLYN","68","MONTAGUE STREET","A2","OT","ISSUED","07/27/2020","01/01/2021",2020-08-24,40.695416,-73.996589
"5840",3026501,"BROOKLYN","425","14TH STREET","A2","PL","ISSUED","07/27/2020","07/27/2021",2020-07-27,40.663059,-73.982363
"5841",3017120,"BROOKLYN","273","19 STREET","A1","","ISSUED","07/27/2020","09/23/2021",2020-09-23,40.661762,-73.991068
"5842",1082106,"MANHATTAN","109","EAST 31 STREET","A3","OT","ISSUED","07/28/2020","07/22/2021",2020-07-28,40.744946,-73.982147
"5843",1001416,"MANHATTAN","240","GREENWICH STREET","A2","OT","ISSUED","07/28/2020","07/01/2021",2020-07-28,40.714055,-74.011612
"5844",1011013,"MANHATTAN","246","WEST 12 STREET","A1","","ISSUED","07/28/2020","06/01/2021",2020-01-28,40.737608,-74.002699
"5845",4248371,"QUEENS","132-19","107 STREET","A1","","ISSUED","07/28/2020","10/18/2020",2020-08-06,40.675998,-73.832843
"5846",1031114,"MANHATTAN","321","WEST 78 STREET","A2","OT","ISSUED","07/28/2020","05/20/2021",2020-07-28,40.783828,-73.982035
"5847",1028138,"MANHATTAN","50","CENTRAL PARK WEST","A2","PL","ISSUED","07/28/2020","07/28/2021",2020-07-28,40.77169,-73.979273
"5848",5009742,"STATEN ISLAND","219","EGBERT AVENUE","A1","","ISSUED","07/28/2020","01/03/2021",2020-07-31,40.624529,-74.130579
"5849",3068837,"BROOKLYN","650","METROPOLITAN AVENUE","A2","OT","ISSUED","07/28/2020","04/02/2021",2020-07-29,40.714255,-73.94723
"5850",4439453,"QUEENS","257-09","UNION TURNPIKE","A2","OT","ISSUED","07/28/2020","08/05/2021",2020-06-24,40.745834,-73.714223
"5851",4272983,"QUEENS","190-15","121 AVE","A1","PL","ISSUED","07/28/2020","07/28/2021",2020-07-28,40.686191,-73.757732
"5852",1022563,"MANHATTAN","1440","BROADWAY","A1","PL","ISSUED","07/28/2020","07/28/2021",2020-07-28,40.754611,-73.986761
"5853",4020675,"QUEENS","2646","4TH STREET","NB","PL","ISSUED","08/05/2020","08/05/2021",2020-08-05,40.775472,-73.932996
"5854",2097318,"BRONX","2921","PAUL AVENUE","A3","EQ","ISSUED","07/29/2020","07/29/2021",2020-07-29,40.871842,-73.893573
"5855",1054984,"MANHATTAN","109","W 112TH STREET","A2","OT","ISSUED","07/29/2020","02/15/2021",2020-08-13,40.799692,-73.952071
"5856",3064278,"BROOKLYN","993","MANHATTAN AVE","A2","OT","ISSUED","07/29/2020","12/12/2020",2020-07-30,40.732925,-73.95472
"5857",3335129,"BROOKLYN","63","FLUSHING AVE","A2","OT","ISSUED","07/29/2020","11/26/2020",2020-08-14,40.69802,-73.974986
"5858",2099115,"BRONX","1009","INTERVALE AVENUE","A2","OT","ISSUED","07/29/2020","10/21/2020",2020-07-29,40.823546,-73.896874
"5859",1017122,"MANHATTAN","200","MADISON AVENUE","A3","OT","IN PROCESS","07/29/2020","12/03/2020",2020-07-31,40.748528,-73.982413
"5860",5863352,"STATEN ISLAND","63","BELFAST AVENUE","NB","PL","ISSUED","07/29/2020","07/29/2021",2020-07-29,40.572125,-74.12579
"5861",1086331,"MANHATTAN","111","ANDES RD","A2","SP","ISSUED","07/29/2020","07/29/2021",2020-07-29,40.692552,-74.016281
"5862",1089412,"MANHATTAN","550","WEST 34TH STREET","A3","CC","ISSUED","07/29/2020","06/30/2021",2020-07-29,40.755405,-74.001112
"5863",1089412,"MANHATTAN","550","WEST 34TH STREET","A3","CC","ISSUED","07/29/2020","06/30/2021",2020-07-29,40.755405,-74.001112
"5864",1045815,"MANHATTAN","419","EAST 70 STREET","A2","OT","ISSUED","07/29/2020","04/23/2021",2020-07-29,40.766239,-73.956322
"5865",1037549,"MANHATTAN","675","THIRD AVENUE","A2","OT","ISSUED","07/29/2020","08/14/2020",2020-07-29,40.750791,-73.973963
"5866",1016921,"MANHATTAN","261","5TH AVENUE","A2","OT","ISSUED","07/29/2020","02/14/2021",2020-07-29,40.745131,-73.986957
"5867",3128381,"BROOKLYN","1677","45 STREET","A2","OT","ISSUED","07/29/2020","07/10/2021",2020-08-04,40.632257,-73.981471
"5868",1089732,"MANHATTAN","113","WEST 24 STREET","NB","PL","ISSUED","07/29/2020","07/29/2021",2020-07-29,40.743858,-73.992984
"5869",4000240,"QUEENS","10-63","JACKSON AVENUE","A2","OT","ISSUED","07/29/2020","07/29/2021",2020-02-19,40.742761,-73.952245
"5870",3128470,"BROOKLYN","1644","45 STREET","DM","","ISSUED","07/30/2020","05/10/2021",2020-08-05,40.632584,-73.982044
